Nome de uma definição de BAdI;Ponto de ampliação;Descrição;
/ACCGO/BADI_MAINT_APP_COLLT_VL;/ACCGO/ES_MAINT_APP_COLLATE_VL;BAdI: validações em processo coletivo;
/ACCGO/BADI_MAINT_APP_PRCGCOND;/ACCGO/ES_MAINT_APP_PRCG_COND;BAdI: atualizar autorização de condições de determinação de;
/ACCGO/BADI_MAINT_APP_SAVE;/ACCGO/ES_MAINT_APPL_APPLY;BAdI: salvar processo de aplicação de contrato;
/ACCGO/BADI_MAINT_APP_SPOTEOD;/ACCGO/ES_MAINT_APP_SPOT_EOD;BAdI: atualizar EOD pontual de aplicação;
/ACCGO/BADI_MAINT_APP_SPOTIMD;/ACCGO/ES_MAINT_APP_SPOTIMMED;BAdI: atualizar pontual imediato;
/ACCGO/BADI_MAINT_APP_SPOTIMMD;/ACCGO/ES_MAINT_APP_SPOT_IMMED;BAdI: atualizar local de aplicação imediato;
/ACCGO/BADI_MAINT_APPL_APPLY;/ACCGO/ES_MAINT_APPL_APPLY;BAdI: acidionar novas validações ou modificar dados de aplic;
/ACCGO/BADI_MAINT_APPL_CHN_STA;/ACCGO/ES_MAINT_APPL_SAVE;BAdI para modificar status de documento de aplicação;
/ACCGO/BADI_MAINT_APPL_CTRFLTR;/ACCGO/ES_MAINT_APPL_CTR_SRCH;BAdI: atualizar filtro de contratos de aplicação;
/ACCGO/BADI_MAINT_APPL_CTROUTP;/ACCGO/ES_MAINT_APPL_CTR_SRCH;BAdI: atualizar saída de pesquisa de contratos de aplicação;
/ACCGO/BADI_MAINT_APPL_CTRPREP;/ACCGO/ES_MAINT_APPL_CTR_SRCH;BAdI: atualizar filtro de contrato de aplicação para pagamen;
/ACCGO/BADI_MAINT_APPL_CTRSRCH;/ACCGO/ES_MAINT_APPL_CTR_SRCH;BAdI: aplicar critérios de pesquisa de contrato de aplicação;
/ACCGO/BADI_MAINT_APPL_PRCSRCH;/ACCGO/ES_MAINT_APPL_CTR_SRCH;BAdI: atualizar pesquisa de fixação de preço de aplicação;
/ACCGO/BADI_MAINT_APPL_PREPPOP;/ACCGO/ES_MAINT_APPL_CTR_SRCH;BAdI: atualizar popup de pagamento prévio de aplicação;
/ACCGO/BADI_MAINT_APPL_READ_QR;/ACCGO/ES_MAINT_APPL_SAVE;BAdI para ler repositório de qualidade.;
/ACCGO/BADI_MAINT_APPL_REVERSL;/ACCGO/ES_MAINT_APPL_REVERSAL;BAdI: atualizar estorno de aplicação;
/ACCGO/BADI_MAINT_APPL_SKIP_UF;/ACCGO/ES_MAINT_APPL_SAVE;BAdI para ignorar processo de entrega insuficiente;
/ACCGO/BADI_MODIFY_FEE;/ACCGO/FEE_ES;BAdI para modificar taxa adicionado;
/ACCGO/BADI_MODIFY_KONVD;/ACCGO/ES_MODIFY_KONVD;;
/ACCGO/BADI_MODIFY_LIEN;/ACCGO/CAS_ES_LIEN;BAdI para modificar dados da penhora;
/ACCGO/BADI_MPWC_DATA_INSTNTAT;/ACCGO/ES_MPWC_DATA_INSTNTIATE;;
/ACCGO/BADI_NETDRY_PROCESS;/ACCGO/ES_NETDRY_PROCESS;BAdI para processo Net Dry;
/ACCGO/BADI_NOM_PPMG_CONT_DISP;/ACCGO/ES_NOM_PPMG_VAL;BAdI: exibição de contrato de documento de planejamento de p;
/ACCGO/BADI_NOM_PPMG_VAL;/ACCGO/ES_NOM_PPMG_VAL;BAdI: validação de pagamento prévio de documento de planejam;
/ACCGO/BADI_NOMIMATION_ALV_ENH;/ACCGO/ES_VEHICLE_CONTRACTS;Definição de BAdI para ALV de documento de planejamento para;
/ACCGO/BADI_OVERFILL_CHANGE;/ACCGO/CAS_ES_OVERFILL;BAdI para modificar dados devolvidos da tabela /ACCGO/T_OVER;
/ACCGO/BADI_PPMG_LDC_EVT_AMT;/ACCGO/ES_PPMG_LDC_EVENT;BAdI: Montante EDC para evento de acordo de pagamento prévio;
/ACCGO/BADI_PPMG_PPA_DATA_PREP;/ACCGO/ES_PPMG_DATA_PREP;BAdI: preparar dados de pagamento prévio;
/ACCGO/BADI_PPMG_PPA_EV_SEQ;/ACCGO/ES_PPMG_LDC_EVENT;BAdI: sequência de evento de acordo de pagamento prévio;
/ACCGO/BADI_PRICE_FIXATION_UI;/ACCGO/ES_VEHICLE_CONTRACTS;Definição de BAdI para IU de fixação de preço;
/ACCGO/BADI_PROD_SRV_PROC;/ACCGO/ES_PROD_SRV_PROCESSING;;
/ACCGO/BADI_RISK_PRCG_ATTRIS;/ACCGO/ES_RISK_PRCG_ATTRIS;BADI para obter atributos de preço de risco;
/ACCGO/BADI_RR_MBS;/ACCGO/FEE_RR_MBS_ES;BAdI para modificar decisão de realização de receita;
/ACCGO/BADI_SCP_VALIDATIONS;/ACCGO/ES_SCP_CHK_VALIDATIONS;;
/ACCGO/BADI_SELECT_DGR_DATA;/ACCGO/ES_NETDRY;;
/ACCGO/BADI_SELECT_NETDRY_DATA;/ACCGO/ES_NETDRY;BAdI para selecionar dados para reports Net Dry;
/ACCGO/BADI_SHLP_TRD_OFFC;/ACCGO/CAK_ES_TRADE_OFFICE;BAdI para ajudas de pesquisa;
/ACCGO/BADI_SI_SPLIT_CRITERIA;/ACCGO/SEP_INV_ES;BAdI para adicionar critérios de partição na taxa FS;
/ACCGO/BADI_SPOT_CONTRACT;/ACCGO/ES_SPOT_CONTRACT;BAdI para contrato pontual;
/ACCGO/BADI_STL_ALTERNATE_PYMT;/ACCGO/ES_STL_DEF_ALTR_PAYMENT;;
/ACCGO/BADI_STL_DEF_WC_SCREEN;/ACCGO/ES_STL_DEF_WC_SCREEN;;
/ACCGO/BADI_STL_EVREG_TRACK_CH;/ACCGO/ES_STL_EVTREG;BAdI: Rastreamento de modificações no registro de evento de;
/ACCGO/BADI_STL_WEIGHT_INT_SCR;/ACCGO/ES_STL_DEF_WC_SCREEN;BAdI para adicionar subtela na tela de síntese do item de li;
/ACCGO/BADI_STORAGE_RELEVANCE;/ACCGO/CAS_ES_STORAGE;;
/ACCGO/BADI_TOLR_CPY_CONTRL;/ACCGO/ES_VEHICLE_CONTRACTS;BADI para ampliação em controle de cópia de tab.tolerância;
/ACCGO/BADI_TOLR_SCREEN_ENH;/ACCGO/ES_VEHICLE_CONTRACTS;Ampliações para tela de tolerância para contratos de veículo;
/ACCGO/BADI_TRD_OFC_CUST_SCR;/ACCGO/CAK_ES_TRADE_OFFICE;;
/ACCGO/BADI_UIS_BATCH;/ACCGO/ES_UIS_BATCH;BAdI: ampliações em detalhes de lote EDC;
/ACCGO/BADI_UIS_BATCH_UPDATE;/ACCGO/ES_UIS_BATCH_UPDATE;BAdI para ampliações no detalhe de lote na entrada de dados;
/ACCGO/BD_ADD_SEL_SCREEN;/ACCGO/ADD_ON_STL_SEL_SCREEN;Tela de seleção de liquidação add-on;
/ACCGO/BR_CAS_BADI_AUTO_INV;/ACCGO/CMN_ES_BR_STL;Faturamento automático de liquidação para o Brasil;
